Start date;Start time;Line;MO No.;Item;Designation;Pal;Type;Hours;Fct qty (Cas);Qty made (Cas);Fct qty [Kg];;Qty made [Kg];;Left (Cas)
08/02/2026;00:07;LMH-P09;29891;280581;6X10X90 FV VP APECSWP-ASTBZUC;707;GGS;9.25;1285;972;6939.000;Kg;5248.800;Kg;313
08/10/2026;00:01;LMH-P09;29901;570468;2X22X90 VP APL-BAN GGS CAN;640;GGS;20.06;3800;;15048.000;Kg;;Kg;3800
08/10/2026;07:00;LMH-P09;29959;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/10/2026;20:04;LMH-P09;29900;280450;6X12X90 TROP MANGVA-PINPAS CAN;635;GGS;24.00;2778;;18001.440;Kg;;Kg;2778
08/11/2026;20:03;LMH-P09;29899;280581;6X10X90 FV VP APECSWP-ASTBZUC;707;GGS;28.66;3981;;21497.400;Kg;;Kg;3981
08/02/2026;03:34;LMH-P10;29790;280351;1X24X90 KIRK ORG STBSPN-MANPEC;655;KIRKLAND;175.16;62199;35112;134349.840;Kg;75841.920;Kg;27087
08/09/2026;00:01;LMH-P10;29954;TRIALS;TRIALS;;;24.00;4261;;18407.520;Kg;;Kg;4261
08/10/2026;00:01;LMH-P10;29902;280351;1X24X90 KIRK ORG STBSPN-MANPEC;655;KIRKLAND;122.56;43519;;94001.040;Kg;;Kg;43519
08/11/2026;10:00;LMH-P10;29960;CIP;CIP;;;6.00;1066;;4605.120;Kg;;Kg;1066
08/02/2026;00:47;LMH-P12;29843;280436;6x4x110 GUTZY ORG BANABLBPOM;630;GUTZY;16.63;4735;4612;12500.400;Kg;12175.680;Kg;123
08/02/2026;09:19;LMH-P12;29842;280426;6x4x110 GUTZY ORG STRAWKWIKALE;630;GUTZY;18.63;5303;250;13999.920;Kg;660.000;Kg;5053
08/03/2026;02:16;LMH-P12;29868;280380;6x8x110 GUTZY ORG STRAWKWIKALE;656;GUTZY;20.65;2939;2716;15517.920;Kg;14340.480;Kg;223
08/04/2026;06:19;LMH-P12;29845;280377;6x8x110 GUTZY ORG STRAWBLBGIN;656;GUTZY;17.62;2508;2544;13242.240;Kg;13432.320;Kg;-36
08/05/2026;03:26;LMH-P12;29846;280376;6x8x110 GUTZY ORG SPINKWIKALE;656;GUTZY;14.97;2131;2090;11251.680;Kg;11035.200;Kg;41
08/06/2026;00:14;LMH-P12;29847;280379;6x8x110 GUTZY ORG BANABLBPOM;656;GUTZY;23.61;3360;2900;17740.800;Kg;15312.000;Kg;460
08/06/2026;22:58;LMH-P12;29844;280539;6X8X110 GUTZY ORGPRO MANPINGVA;656;GUTZY;13.31;1894;1120;10000.320;Kg;5913.600;Kg;774
08/07/2026;15:00;LMH-P12;29973;280397;6X8X110 GUTZY ORGPRO BANBLUACA;656;GUTZY;10.91;1553;;8199.840;Kg;;Kg;1553
08/08/2026;19:00;LMH-P12;29854;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
08/09/2026;00:01;LMH-P12;29908;TRIALS;TRIALS;;;40.00;6946;;30006.720;Kg;;Kg;6946
08/09/2026;11:00;LMH-P12;29961;CIP;CIP;;;6.00;1042;;4501.440;Kg;;Kg;1042
