block_id,block_type,line_id,line_name,start_h,end_h,label,order_id,sku,sku_description,qty_kg,locked,attrs
prod_e97c9b2959,production,0,P09,86.0,132.0,280169,280169-W0,280169,GGS F&V VP APECSWP-ASTBZUC 6x12x3.2oz,,False,
prod_a2c100a1f6,production,0,P09,145.0,149.0,280169,280169-W0,280169,GGS F&V VP APECSWP-ASTBZUC 6x12x3.2oz,,False,
prod_ad897ae02a,production,0,P09,132.0,139.0,280586,280586-W0,280586,GGS VP APL-PEC-GM5 4x16x3.2oz,,False,
prod_0d5eb42329,production,0,P09,149.0,210.0,280586,280586-W0,280586,GGS VP APL-PEC-GM5 4x16x3.2oz,,False,
prod_dada24b449,production,0,P09,210.0,228.0,120436,120436-W1,120436,6X12X90 APL GGS,,False,
prod_d7c6f55305,production,0,P09,332.0,336.0,120436,120436-W1,120436,6X12X90 APL GGS,,False,
prod_ab56e0ca3e,production,0,P09,243.0,256.0,280452,280452-W1,280452,GGS VP MANGVA-PEC-BLB 2x20x90g CAN,,False,
prod_ce3d619df4,production,0,P09,271.0,312.0,280452,280452-W1,280452,GGS VP MANGVA-PEC-BLB 2x20x90g CAN,,False,
prod_9340b872af,production,0,P09,256.0,265.0,280453,280453-W1,280453,GGS VP APL-GRA-BER 2x20x90g CAN,,False,
prod_201a221582,production,0,P09,312.0,332.0,280453,280453-W1,280453,GGS VP APL-GRA-BER 2x20x90g CAN,,False,
prod_cfd0c4f0b9,production,0,P09,378.0,387.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_cd08ee5c21,production,0,P09,491.0,498.0,120437,120437-W2,120437,6X12X90 ASTB GGS,,False,
prod_affa6485c2,production,0,P09,355.0,368.0,251200,251200-W2,251200,6X12X90 VP APL-STB GGS CAN,,False,
prod_d21f052ad4,production,0,P09,498.0,504.0,251200,251200-W2,251200,6X12X90 VP APL-STB GGS CAN,,False,
prod_6d2b026bf8,production,0,P09,387.0,391.0,280121,280121-W2,280121,6X12X90 VP APL-BLB GGS CAN,,False,
prod_992b1b8631,production,0,P09,474.0,491.0,280121,280121-W2,280121,6X12X90 VP APL-BLB GGS CAN,,False,
prod_43d43135b2,production,0,P09,444.0,474.0,280264,280264-W2,280264,6X12X90 WALMRT F&V PEC-BER-STB,,False,
prod_1a2159b698,production,0,P09,336.0,355.0,280421,280421-W2,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_ad5b982593,production,0,P09,433.0,444.0,280421,280421-W2,280421,GGS VP APL-STB-BAN-PEC 2x20x90g - CAN,,False,
prod_efcceb7a9c,production,0,P09,368.0,378.0,280584,280584-W2,280584,GGS FV VP BER-PEC-PER 4x16x3.2oz DINO,,False,
prod_36760c1709,production,0,P09,397.0,433.0,280584,280584-W2,280584,GGS FV VP BER-PEC-PER 4x16x3.2oz DINO,,False,
prod_7b9d2895e7,production,0,P09,228.0,243.0,570468,29901|CUR,570468,GGS VP APL-BAN 2x22x90g CAN,,False,
prod_80add05820,production,0,P09,31.0,56.0,280450,29900|CUR,280450,GGS TROP VP MANGVA-PINPAS 6x12x90g CAN,,False,
prod_1da0383067,production,0,P09,56.0,86.0,280581,29899|CUR,280581,GGS FV VP APECSWP-ASTBZUC 6x10x3.2oz,,False,
